INDEX,temp,pressure,humidity,dew_point,clouds,visibility,wind_speed,rainfall_1hr
834693,2.8,1017.0,91.0,1.48,100.0,2414.0,3.1,
3735975,24.96,1013.0,88.0,22.83,100.0,10000.0,4.1,0.43
823457,13.06,1019.0,100.0,13.06,100.0,9656.0,2.6,
3459399,19.63,1019.0,72.0,14.45,75.0,10000.0,3.1,
856751,0.78,1012.0,51.0,-7.29,100.0,10000.0,3.1,
2585261,24.49,1013.0,40.0,10.02,20.0,10000.0,5.7,
943041,1.79,1027.0,51.0,-6.45,100.0,10000.0,6.2,0.2
4353786,15.9,1014.0,83.0,13.02,75.0,10000.0,3.1,
2034918,15.6,1023.0,100.0,15.6,100.0,201.0,0.0,
4005599,24.45,1019.0,68.0,18.16,40.0,10000.0,4.1,
1610480,28.94,1019.0,57.0,19.57,75.0,10000.0,6.2,
685509,-19.24,1034.0,60.0,-24.48,40.0,10000.0,6.7,
2292848,12.16,1016.0,81.0,9.0,100.0,10000.0,2.6,
5145001,4.08,1012.0,31.0,-10.27,0.0,10000.0,6.7,
5039780,13.9,1020.0,80.0,10.51,100.0,10000.0,1.5,
725705,-6.59,1011.0,72.0,-10.33,100.0,3219.0,3.6,
3415749,20.53,1016.0,35.0,4.56,0.0,10000.0,2.1,
2582555,27.75,1020.0,66.0,20.82,75.0,10000.0,4.1,
569348,16.79,1017.0,23.0,-3.93,40.0,10000.0,8.8,
2013943,23.65,1015.0,68.0,17.4,75.0,10000.0,3.1,
3231885,24.35,1004.0,58.0,15.56,75.0,10000.0,0.0,
1529828,11.63,1019.0,68.0,5.93,75.0,10000.0,3.1,
936188,6.66,1012.0,75.0,2.55,0.0,10000.0,4.1,
3622080,25.13,1020.0,55.0,15.46,75.0,10000.0,5.7,
3032892,20.15,1017.0,57.0,11.37,100.0,10000.0,2.6,
2013093,23.11,1015.0,71.0,17.57,75.0,10000.0,3.6,
4617381,15.97,1015.0,44.0,3.74,75.0,10000.0,3.6,0.18
3474970,36.23,1016.0,30.0,15.9,40.0,10000.0,3.6,
2616788,28.93,1018.0,80.0,25.13,75.0,10000.0,7.7,0.2
4768094,2.67,1031.0,72.0,-1.65,20.0,10000.0,3.6,
2657117,17.22,1016.0,84.0,14.49,0.0,10000.0,4.6,
1418776,26.24,1011.0,64.0,18.89,100.0,10000.0,7.2,
4086837,31.59,1015.0,65.0,24.2,40.0,10000.0,3.1,
2833760,26.9,1014.0,73.0,21.65,75.0,10000.0,4.1,
2655161,19.66,1016.0,46.0,7.73,0.0,10000.0,3.1,
1139667,20.8,1022.0,21.0,-2.04,75.0,10000.0,5.1,
1271004,23.16,1017.0,51.0,12.48,20.0,10000.0,5.7,
5027731,17.28,1021.0,89.0,15.45,0.0,10000.0,3.6,
1433420,19.73,1021.0,29.0,1.21,100.0,10000.0,11.3,
4434776,20.71,1018.0,83.0,17.72,20.0,10000.0,1.5,
3709555,26.67,1009.0,62.0,18.79,75.0,10000.0,4.1,
1337286,-2.22,1017.0,55.0,-9.18,100.0,10000.0,8.8,
5108885,7.81,1022.0,57.0,-0.15,0.0,10000.0,0.0,
2546289,19.1,1013.0,80.0,15.57,75.0,10000.0,0.0,
831021,1.47,1020.0,91.0,0.16,100.0,4828.0,3.1,
5125014,7.78,1023.0,60.0,0.51,75.0,10000.0,5.1,
2650545,28.09,1016.0,32.0,9.86,20.0,10000.0,3.1,0.95
2768343,26.91,1007.0,69.0,20.74,40.0,10000.0,6.2,
5118935,0.57,1019.0,63.0,-5.01,75.0,10000.0,4.6,
3408775,34.21,1013.0,49.0,21.97,40.0,10000.0,5.7,4.56
3067912,35.1,1018.0,45.0,21.38,75.0,10000.0,2.1,
3725231,31.0,1011.0,57.0,21.48,40.0,10000.0,8.2,0.33
131390,-2.9,1017.0,43.0,-12.57,100.0,10000.0,7.7,
1549526,29.29,1019.0,57.0,19.89,40.0,10000.0,5.7,
3655387,28.57,1023.0,56.0,18.94,75.0,10000.0,3.1,
3194936,23.3,1018.0,65.0,16.36,40.0,10000.0,3.1,
2014550,27.52,1013.0,89.0,25.54,100.0,3219.0,4.1,0.11
878341,23.57,1013.0,87.0,21.28,0.0,10000.0,1.5,
2290291,26.09,1021.0,80.0,22.37,75.0,10000.0,4.6,
885914,-1.93,1031.0,37.0,-13.33,20.0,10000.0,4.6,
1650843,0.07,1019.0,100.0,0.07,100.0,10000.0,0.0,
1783473,19.48,1012.0,96.0,18.83,100.0,10000.0,3.6,4.67
714370,-8.86,1015.0,83.0,-10.96,100.0,1207.0,3.1,
4878322,11.38,1013.0,92.0,10.13,100.0,3219.0,0.0,0.2
2289876,19.1,1017.0,91.0,17.6,40.0,10000.0,3.6,
1860002,8.01,1010.0,79.0,4.6,20.0,10000.0,3.6,
529955,15.53,1017.0,74.0,10.92,75.0,10000.0,5.1,
5295876,0.58,1009.0,91.0,-0.63,100.0,10000.0,6.7,
4998197,14.87,1012.0,82.0,11.83,100.0,10000.0,6.7,
3258546,18.65,1016.0,72.0,13.51,40.0,10000.0,0.0,
114800,-22.93,1034.0,73.0,-26.09,20.0,10000.0,6.2,
3970756,21.88,1015.0,90.0,20.17,40.0,8000.0,2.6,
970212,12.01,1013.0,94.0,11.08,100.0,804.0,7.2,1.36
563350,7.84,1020.0,76.0,3.88,0.0,10000.0,5.7,
2718187,33.13,1018.0,56.0,23.17,75.0,10000.0,2.6,
2862754,24.44,1012.0,62.0,16.69,75.0,10000.0,1.5,
1900199,25.45,1019.0,39.0,10.5,20.0,10000.0,3.1,
1438136,17.56,1020.0,96.0,16.92,100.0,805.0,0.0,
3785213,26.23,1018.0,79.0,22.3,75.0,10000.0,0.0,0.35
911074,-4.0,1034.0,79.0,-6.75,100.0,805.0,3.1,
390888,-3.17,1014.0,72.0,-7.01,100.0,10000.0,10.8,
5269033,5.8,1005.0,85.0,3.48,100.0,4023.0,11.3,0.7
1241393,20.25,1015.0,90.0,18.56,100.0,10000.0,3.6,0.17
507075,3.31,1017.0,92.0,2.14,100.0,10000.0,4.6,
2232954,7.17,1021.0,88.0,5.32,0.0,10000.0,2.6,
5109007,-1.07,1011.0,68.0,-5.64,100.0,10000.0,8.2,
3044074,16.44,1014.0,60.0,8.66,40.0,10000.0,0.0,
594648,10.53,1002.0,79.0,7.05,75.0,10000.0,2.1,0.25
4182568,23.3,1012.0,61.0,15.36,0.0,10000.0,6.2,
4267369,15.41,1025.0,72.0,10.39,40.0,10000.0,0.0,
1602096,20.67,1010.0,96.0,20.01,75.0,8047.0,3.1,
1825844,16.76,1016.0,18.0,-6.82,20.0,10000.0,8.2,
